Id,Naughtiness,es-es,en-us,ca
208,5,Yo nunca he espiado a alguien teniendo sexo.,Never have I ever spied someone having sex.,Jo mai he espiat a algú tenint sexe.
209,5,Yo nunca he espiado a alguien en la ducha.,Never have I ever spied someone in the shower.,Jo mai he espiat a algú a la dutxa.
210,3,Yo nunca me he masturbado en la ducha.,Never have I ever masturbated in the shower.,Jo mai m'he masturbat a la dutxa.
211,5,Yo nunca me he masturbado en un sitio publico.,Never have I ever masturbated in a public place.,Jo mai m'he masturbat en un lloc públic.
212,5,Yo nunca he masturbado a alguien en un sitio publico.,Never have I ever masturbated someone in a public place.,Jo mai he masturbat a algú en un lloc públic.
213,3,Yo nunca he tenido sexo en el coche de mis padres.,Never have I ever had sex in the car of my parents.,Jo mai he tingut sexe al cotxe dels meus pares.
214,3,Yo nunca he tenido sexo en la cama de mis padres.,Never have I ever had sex in the bed of my parents.,Jo mai he tingut sexe al llit dels meus pares.
215,3,Yo nunca he tenido que disimular una mancha de corrida.,Never have I ever had to hide a stain run.,Jo mai he hagut de dissimular una taca de correguda.
216,5,Yo nunca me he limpiado la corrida con las sabanas.,Never have I ever cleaned the run with sheets.,Jo mai m'he netejat la correguda amb els llençols.
217,5,Yo nunca me he limpiado la corrida con ropa interior.,Never have I ever cleaned the run with underwear.,Jo mai m'he netejat la correguda amb roba interior.
218,3,Yo nunca me he dejado ropa interior en casa ajena.,Never have I ever stopped underwear in someone else's house.,Jo mai m'he deixat roba interior a casa dels altres.
219,3,Yo nunca he dejado ropa en casa ajena para volver.,Never have I ever left clothes in someone else's house to return.,Jo mai he deixat roba a casa dels altres per tornar.
220,2,Yo nunca he usado ropa interior de mis padres.,Never have I ever used my parents underwear.,Jo mai he fet servir roba interior dels meus pares.
221,2,Yo nunca he usado ropa interior del sexo opuesto.,Never have I ever used underwear of the opposite sex.,Jo mai he fet servir roba interior de el sexe oposat.
222,5,Yo nunca he mandado callar a alguien durante el sexo.,Never have I ever ordered silence to someone during sex.,Jo mai he manat callar a algú durant el sexe.
223,5,Yo nunca he masturbado a alguien con los pies.,Never have I ever masturbated someone with his feet.,Jo mai he masturbat a algú amb els peus.
224,3,Yo nunca me he inventado que tenia la regla para no follar.,Never have I ever invented that had the rule to not fuck.,Jo mai m'he inventat que tenia la regla per no follar.
225,3,Yo nunca me he inventado que me encontraba mal para no follar.,Never have I ever invented that I was wrong not to fuck.,Jo mai m'he inventat que em trobava malament per no follar.
226,5,Yo nunca he pensado que Ariel de La Sirenita tiene un polvazo.,Never have I ever thought that Ariel from The Little Mermaid has a first scene.,Jo mai he pensat que Ariel de La Sireneta té un polvazo.
227,5,Yo nunca he usado hielo durante el sexo.,Never have I ever used ice during sex.,Jo mai he fet servir gel durant el sexe.
228,5,Yo nunca he fantaseado con un personaje de videojuego.,Never have I ever fantasized about a video game.,Jo mai he fantasiejat amb un personatge de videojoc.
229,5,Yo nunca he recibido un oral mientras jugaba a videojuegos.,Never have I ever received an oral while playing video games.,Jo mai he rebut un oral mentre jugava a videojocs.
230,5,Yo nunca me he manchado el pelo de semen.,Never have I ever spotted hair semen.,Jo mai m'he tacat els cabells de semen.
231,5,Yo nunca he comido corrida.,Never have I ever eaten corrida.,Jo mai he menjat correguda.
232,1,Yo nunca he comido chocolate despues del sexo.,Never have I ever eaten chocolate after sex.,Jo mai he menjat xocolata després de l'sexe.
233,5,Yo nunca he jugado con comida durante el sexo.,Never have I ever played with food during sex.,Jo mai he jugat amb menjar durant el sexe.
234,5,Yo nunca he utilizado un vibrador.,Never have I ever used a vibrator.,Jo mai he utilitzat un vibrador.
235,3,Yo nunca he tenido sexo escuchando reaggeton.,Never have I ever had sex listening reaggeton.,Jo mai he tingut sexe escoltant reaggeton.
236,3,Yo nunca he tenido que parar durante el sexo por un ataque de risa.,Never have I ever had to stop during sex by a fit of laughter.,Jo mai he hagut de parar durant el sexe per un atac de riure.
237,5,Yo nunca me he desmayado durante el sexo.,Never have I ever fainted during sex.,Jo mai m'he desmaiat durant el sexe.
238,5,Yo nunca me he meado mientras follaba.,Never have I ever peed while fucked.,Jo mai m'he pixat mentre follava.
239,5,Yo nunca he pegado a alguien durante el sexo.,Never have I ever hit someone during sex.,Jo mai he pegat a algú durant el sexe.
240,5,Yo nunca he respondido a una llamada mientras follaba.,Never have I ever responded to a call while he fucked.,Jo mai he respost a una trucada mentre follava.
241,3,Yo nunca he utilizado el ver una pelicula como excusa para acostarme con alguien.,Never have I ever used the watch a movie as an excuse to get laid.,Jo mai he utilitzat el veure una pelicula com a excusa per anar a dormir amb algú.
242,2,Yo nunca he tenido que ver una pelicula dos veces para entenderla.,Never have I ever had to watch a movie twice to understand it.,Jo mai he tingut a veure una pelicula dues vegades per entendre-la.
243,3,Yo nunca he tenido que ver una pelicula dos veces por estar follando durante la primera.,Never have I ever had to watch a movie twice during the first being fucking.,Jo mai he tingut a veure una pelicula dues vegades per estar follant durant la primera.
244,5,Yo nunca he follado en el cine.,Never have I ever fucked on film.,Jo mai he follat ​​al cinema.
245,5,Yo nunca he follado con quien sabía que no debía.,Never have I ever fucked who knew not to.,Jo mai he follat ​​amb qui sabia que no havia.
246,3,Yo nunca me he liado con alguien por lastima.,Never have I ever hooked up with someone hurts.,Jo mai m'he embolicat amb algú per mal.
247,5,Yo nunca me he acostado con alguien por lastima.,Never have I ever slept with someone hurts.,Jo mai m'he ficat al llit amb algú per mal.
248,5,Yo nunca he desvirgado a alguien.,Never have I ever deflowered anyone.,Jo mai he desvirgat a algú.
249,5,Yo nunca he participado en una orgía.,Never have I ever taken part in an orgy.,Jo mai he participat en una orgia.
250,5,Yo nunca he organizado una orgía.,Never have I ever organized an orgy.,Jo mai he organitzat una orgia.
251,3,Yo nunca me he quedado con las ganas.,Never have I ever been disappointed.,Jo mai m'he quedat amb les ganes.
252,2,Yo nunca he buscado en internet cómo ligar.,Never have I ever searched on the internet how to flirt.,Jo mai he buscat a internet com lligar.
253,3,Yo nunca he buscado en internet cómo dar mejores orales.,Never have I ever searched on the internet how to best oral.,Jo mai he buscat a internet com donar millors orals.
254,2,Yo nunca he elegido a alguien para hacer un trabajo con la intención de ligar con esa persona.,Never have I ever chosen someone to do a project with the intention of flirting with that person.,Jo mai he escollit a algú per fer un treball amb la intenció de lligar amb aquesta persona.
255,2,Yo nunca he flirteado con alguien para conseguir el número de su amigo/a.,Never have I ever flirted with someone to get the number of your friend.,Jo mai he flirtejat amb algú per aconseguir el número del seu amic o amiga.
256,2,Yo nunca me he medido el pene.,Never have I ever measured his penis.,Jo mai m'he mesurat el penis.
257,2,Yo nunca me he terminado creyendo una mentira porque no queria aceptar una verdad.,Never have I ever done believing a lie because he would not accept a truth.,Jo mai m'he acabat creient una mentida perquè no volia acceptar una veritat.
258,1,Yo nunca he cantado musica de los 80 en la ducha.,Never have I ever sung 80s music in the shower.,Jo mai he cantat música dels 80 a la dutxa.
259,3,Yo nunca he durado menos de 5 minutos en la cama.,Never have I ever lasted less than 5 minutes in bed.,Jo mai he durat menys de 5 minuts al llit.
260,3,Yo nunca he durado más de una hora en la cama.,Never have I ever lasted more than an hour in bed.,Jo mai he durat més d'una hora al llit.
261,2,Yo nunca he sido expulsado de un club nocturno.,Never have I ever been thrown out of a nightclub.,Jo mai he estat expulsat d'un club nocturn.
262,5,Yo nunca me he liado con dos o más personas aquí presentes.,Never have I ever hooked up with two or more people here.,Jo mai m'he embolicat amb dues o més persones aquí presents.
263,5,Yo nunca me he liado con uno de los presentes.,Never have I ever hooked up with one of those present.,Jo mai m'he embolicat amb un dels presents.
264,5,Yo nunca me he acostado con dos de los presentes.,Never have I ever slept with two of those present.,Jo mai m'he ficat al llit amb dos dels presents.
265,3,Yo nunca he recibido sexo oral sin estar depilado/a.,Never have I ever received oral sex without being shaved.,Jo mai he rebut sexe oral sense estar depilat/ada.
266,2,Yo nunca me he tirado un pedo silencioso.,Never have I ever thrown a silent fart.,Jo mai m'he tirat un pet silenciós.
267,2,Yo nunca me he tirado un pedo con regalo.,Never have I ever thrown a fart with gifts.,Jo mai m'he tirat un pet amb regal.
268,2,Yo nunca he eructado mientras besaba a alguien.,Never have I ever burped while kissing someone.,Jo mai he rotat mentre besava a algú.
269,2,Yo nunca he tosido mientras besaba a alguien.,Never have I ever coughed as he kissed someone.,Jo mai he tossit mentre besava a algú.
270,5,Yo nunca he vomitado mientras besaba a alguien.,Never have I ever vomited while kissing someone.,Jo mai he vomitat mentre besava a algú.
271,2,Yo nunca he pensado que soy asexual.,Never have I ever thought of myself as asexual.,Jo mai he pensat que sóc asexual.
272,2,Yo nunca he dudado de la orientación sexual de alguno de los presentes.,Never have I ever doubted the sexual orientation of anyone present.,Jo mai he dubtat de l'orientació sexual d'algun dels presents.
273,3,Yo nunca besaría al jugador/a de mi izquierda.,Never have I ever would like to kiss the player at my left.,Jo mai faria un petó a el jugador / a de la meva esquerra.
274,3,Yo nunca besaría al jugador/a de mi derecha.,Never have I ever would like to kiss the player at my right.,Jo mai faria un petó a el jugador / a de la meva dreta.
275,3,Yo nunca he hecho una mamada.,Never have I ever done a blowjob.,Jo mai he fet una mamada.
276,3,Yo nunca he pensado que el tamaño importa.,Never have I ever thought that size matters.,Jo mai he pensat que la mida importa.
277,2,Yo nunca he sido okupa.,Never have I ever been squatter.,Jo mai he estat okupa.
278,5,Yo nunca he agradecido que la tuviese tan grande.,Never have I ever had so thankful that big.,Jo mai he agraït que la tingués tan gran.
279,5,Yo nunca he agradecido que la tuviese tan pequeña.,Never have I ever had so thankful that small.,Jo mai he agraït que la tingués tan petita.
280,2,Yo nunca me he vomitado encima.,Never have I ever vomited.,Jo mai m'he vomitat a sobre.
281,4,Yo nunca me he emborrachado con mis padres.,Never have I ever gotten drunk with my parents.,Jo mai m'he emborratxat amb els meus pares.
282,4,Yo nunca he fumado con mis padres.,Never have I ever smoked with my parents.,Jo mai he fumat amb els meus pares.
283,5,Yo nunca he hecho intercambio de parejas.,Never have I ever done swingers.,Jo mai he fet intercanvi de parelles.
284,3,Yo nunca he recibido cachetadas mientras tenia sexo.,Never have I ever received slaps while having sex.,Jo mai he rebut cachetadas mentre tenia sexe.
285,3,Yo nunca he pedido que me den cachetadas durante el sexo.,Never have I ever asked me to give slaps during sex.,Jo mai he demanat que em donin cachetadas durant el sexe.
286,3,Yo nunca me he aburrido teniendo sexo.,Never have I ever bored me having sex.,Jo mai m'he avorrit tenint sexe.
287,2,Yo nunca he tenido una cita a ciegas.,Never have I ever had a blind date.,Jo mai he tingut una cita a cegues.
288,3,Yo nunca he dejado de tener sexo antes de correrme.,Never have I ever stopped having sex before cumming.,Jo mai he deixat de tenir sexe abans de escórrer.
289,3,Yo nunca he hecho la marcha atrás.,Never have I ever done the reverse.,Jo mai he fet la marxa enrere.
290,5,Yo nunca he rechazado un trio.,Never have I ever turned down a trio.,Jo mai he rebutjat un trio.
291,4,Yo nunca he sido pillado por mis padres fumando.,Never have I ever been caught by my parents smoking.,Jo mai he estat enxampat pels meus pares fumant.
292,5,Yo nunca me he hecho una prueba de embarazo.,Never have I ever done a pregnancy test.,Jo mai m'he fet una prova d'embaràs.
293,2,Yo nunca he pensado que alguien besa fatal.,Never have I ever thought someone kisses fatal.,Jo mai he pensat que algú fa un petó fatal.
294,2,Yo nunca me he grabado mientras cagaba y he mandado fotos de mi mierda.,Never have I ever recorded as shit and I sent pictures of my shit.,Jo mai m'he gravat mentre cagava i he manat fotos de la meva merda.
295,3,Yo nunca he pensado que la persona que mejor me ha besado está entre los presentes>a>uwu<a<.,Never have I ever thought that the person that kissed me the best is among those present> a> uwu <a <.,Jo mai he pensat que la persona que millor m'ha besat està entre els presents> a> uwu <a <.
296,5,Yo nunca he tenido una relación abierta.,Never have I ever had an open relationship.,Jo mai he tingut una relació oberta.
297,5,Yo nunca me he arrepentido de tener una relación abierta.,Never have I ever regretted having an open relationship.,Jo mai m'he penedit de tenir una relació oberta.
298,3,Yo nunca me he acostado con alguien en la primera cita.,Never have I ever slept with someone on the first date.,Jo mai m'he ficat al llit amb algú a la primera cita.
299,3,Yo nunca he tenido conversaciones eróticas por teléfono.,Never have I ever had erotic telephone conversations.,Jo mai he tingut converses eròtiques per telèfon.
300,2,Yo nunca he salido a la calle sin ropa interior.,Never have I ever gone out without underwear.,Jo mai he sortit al carrer sense roba interior.
301,2,Yo nunca he ido por la calle en ropa interior.,Never have I ever gone down the street in his underwear.,Jo mai he anat pel carrer en roba interior.
302,3,Yo nunca me he masturbado 4 veces el mismo día.,Never have I ever masturbated 4 times the same day.,Jo mai m'he masturbat 4 vegades el mateix dia.
303,3,Yo nunca he practicado sexo en una terraza.,Never have I ever had sex on a terrace.,Jo mai he practicat sexe en una terrassa.
304,3,Yo nunca he perdido la virginidad en un sitio que no sea una cama.,Never have I ever lost her virginity in a place other than a bed.,Jo mai he perdut la virginitat en un lloc que no sigui un llit.
305,5,Yo nunca me he equivocado de nombre durante el sexo.,Never have I ever wrong name during sex.,Jo mai m'he equivocat de nom durant el sexe.
306,5,"Yo nunca he tenido ganas de hacer ""cosas"" con alguien aqui presente>a>uwu<a<.","Never have I ever felt like doing ""things"" with anyone here> a> uwu <a <.","Jo mai he tingut ganes de fer ""coses"" amb algú aqui present> a> uwu <a <."
307,5,Yo nunca he experimentado con mi orientación sexual.,Never have I ever experienced with my sexual orientation.,Jo mai he experimentat amb la meva orientació sexual.
308,2,Yo nunca he hecho un sinpa.,Never have I ever done a SINPA.,Jo mai he fet un sinpa.
309,5,Yo nunca he sido infiel.,Never have I ever been unfaithful.,Jo mai he estat infidel.
310,2,Yo nunca he sido un/a cornudo/a.,Never have I ever been a cuckold.,Jo mai he estat un/a banyut/uda.
311,3,Yo nunca he pensado en probar el semen.,Never have I ever thought of testing the semen.,Jo mai he pensat en provar el semen.
312,2,Yo nunca he borrado el historial del navegador para esconder algo.,Never have I ever erase the browser history to hide something.,Jo mai he esborrat l'historial de el navegador per amagar alguna cosa.
313,2,Yo nunca he tenido celos de alguno de los presentes.,Never have I ever been jealous of anyone present.,Jo mai he tingut gelosia d'algun dels presents.
314,1,Yo nunca me he tirado un pedo en la piscina.,Never have I ever thrown a fart in the pool.,Jo mai m'he tirat un pet a la piscina.
315,3,Yo nunca he tenido sexo ilegal.,Never have I ever had illegal sex.,Jo mai he tingut sexe il·legal.
316,3,Yo nunca he tenido semen en la cara.,Never have I ever had semen on her face.,Jo mai he tingut semen a la cara.
317,5,Yo nunca me he masturbado en grupo.,Never have I ever masturbated group.,Jo mai m'he masturbat en grup.
318,2,Yo nunca he bailado desnudo/a.,Never have I ever danced naked.,Jo mai he ballat nu/a.
319,3,Yo nunca he atado a mi pareja durante el sexo.,Never have I ever tied my partner during sex.,Jo mai he lligat a la meva parella durant el sexe.
320,3,Yo nunca he sido atado/a durante el sexo.,Never have I ever been tied during sex.,Jo mai he estat lligat/ada durant el sexe.
321,5,Yo nunca me he excitado pensando en alguno de los presentes.,Never have I ever excited thinking of anyone present.,Jo mai m'he excitat pensant en algun dels presents.
322,2,Yo nunca me he empalmado en la playa.,Never have I ever marquetry on the beach.,Jo mai m'he empalmat a la platja.
323,5,Yo nunca he mojado la espada de sangre>a>El Cid<a<.,Never have I ever wet blood sword> a> El Cid <a <.,Jo mai he mullat l'espasa de sang> a> El Cid <a <.
324,3,Yo nunca me he masturbado en el coche.,Never have I ever masturbated in the car.,Jo mai m'he masturbat al cotxe.
325,2,Yo nunca me he liado con alguien que tenia pareja.,Never have I ever hooked up with someone who had a partner.,Jo mai m'he embolicat amb algú que tenia parella.
326,2,Yo nunca he mentido sobre ser virgen.,Never have I ever lied about being a virgin.,Jo mai he mentit sobre ser verge.
327,5,Yo nunca he recibido una sexo oral mientras conducía.,Never have I ever received oral sex while driving.,Jo mai he rebut una sexe oral mentre conduïa.
328,5,Yo nunca he recibido una paja/dedos mientras conducía.,Never have I ever received a masturbation while driving.,Jo mai he rebut una palla/dits mentre conduïa.
329,2,Yo nunca he mordido el culo a alguien.,Never have I ever bitten anyone ass.,Jo mai he mossegat el cul a algú.
330,3,Yo nunca he hecho un 69.,Never have I ever done a 69.,Jo mai he fet un 69.
331,3,Yo nunca he hecho un 68>a>Tu me la comes y yo te debo una<a<.,Never have I ever done a 68> a> Tu eat mine and I'll owe you one<a <.,Jo mai he fet un 68> a>Me la menges i jo et dec una<a <.
332,3,Yo nunca lo he hecho en la ducha.,Never have I ever done in the shower.,Jo mai ho he fet a la dutxa.
333,3,Yo nunca lo he hecho en la postura de misionero.,Never have I ever done in the missionary position.,Jo mai ho he fet en la postura de missioner.
334,3,Yo nunca lo he hecho en la postura del perrito.,Never have I ever done it in the posture of the puppy.,Jo mai ho he fet en la postura de l'gosset.
335,3,Yo nunca lo he hecho en la postura de cowgirl.,Never have I ever done in the cowgirl position.,Jo mai ho he fet en la postura de cowgirl.
336,3,Yo nunca lo he hecho en la postura de la Sillita de la Reina.,Never have I ever done it in the posture of the seat of the Queen.,Jo mai ho he fet en la postura de la Cadireta de la Reina.
337,3,Yo nunca he intentado seguir el Kamasutra.,Never have I ever tried to follow the Kamasutra.,Jo mai he intentat seguir el Kamasutra.
338,5,Yo nunca he practicado sexo en el baño de una discoteca.,Never have I ever had sex in the bathroom of a nightclub.,Jo mai he practicat sexe al bany d'una discoteca.
339,5,Yo nunca me he liado con quién esta leyendo.,Never have I ever hooked up with who is reading.,Jo mai m'he embolicat amb qui aquesta llegint.
340,3,Yo nunca me he saltado clases para tener sexo.,Never have I ever skipped classes to have sex.,Jo mai m'he saltat classes per tenir sexe.
341,5,Yo nunca me he liado con la ex-pareja de alguno de los presentes.,Never have I ever hooked up with the ex-partner of anyone present.,Jo mai m'he embolicat amb l'ex-parella d'algun dels presents.
342,2,Yo nunca le he mirado el culo a alguno de los presentes.,Never have I ever looked at the ass of anyone present.,Jo mai li he mirat el cul a algun dels presents.
343,2,Yo nunca he besado a alguien con un chicle en la boca.,Never have I ever kissed anyone with a piece of gum in your mouth.,Jo mai he besat a algú amb un xiclet a la boca.
344,3,Yo nunca he hecho una cubana.,Never have I ever done a Cuban.,Jo mai he fet una cubana.
345,3,Yo nunca he recibido una cubana.,Never have I ever received a Cuban.,Jo mai he rebut una cubana.
346,3,Yo nunca he follado mientras miraba una pelicula porno.,Never have I ever fucked while watching a porn movie.,Jo mai he follat ​​mentre mirava una pelicula porno.
347,2,Yo nunca me he masturbado en las últimas 24h.,Never have I ever masturbated in the past 24 hours.,Jo mai m'he masturbat en les últimes 24 hores.
348,2,Yo nunca me he masturbado en casa de un amigo/a.,Never have I ever masturbated in the home of a friend.,Jo mai m'he masturbat a casa d'un amic o amiga.
349,3,Yo nunca me he masturbado con alguien al lado.,Never have I ever masturbated with someone side.,Jo mai m'he masturbat amb algú a la banda.
350,2,Yo nunca he enseñado las tetas en un festival.,Never have I ever taught her tits at a festival.,Jo mai he ensenyat els pits en un festival.
351,1,Yo nunca me he liado con alguien que se llame igual que yo.,Never have I ever hooked up with someone like me to call.,Jo mai m'he embolicat amb algú que es digui igual que jo.
352,5,Yo nunca he pensado que alguno de los presentes necesita un polvo YA.,Never have I ever thought that anyone here needs a mere dust.,Jo mai he pensat que algun dels presents necessita una pols JA.
353,2,Yo nunca he meado en la calle.,Never have I ever peed in the street.,Jo mai he pixat al carrer.
354,3,Yo nunca he tenido relaciones sexuales con alguien que tuviera hijos.,Never have I ever had sex with someone who had children.,Jo mai he tingut relacions sexuals amb algú que tingués fills.
355,2,Yo nunca he probado hasta dónde podía tragarme algo.,Never have I ever tasted far I could swallow something.,Jo mai he provat fins on podia empassar-me alguna cosa.
356,2,Yo nunca le he conseguido un ligue a un amigo/a.,Never have I ever gotten an affair to a friend.,Jo mai li he aconseguit un lligui a un amic o amiga.
357,2,"Yo nunca he pagado un hotel para follar, pero la noche salió mal.","Never have I ever paid a hotel to fuck, but the night went wrong.","Jo mai he pagat un hotel per follar, però la nit va sortir malament."
358,5,Yo nunca me he ido de viaje con mi ex.,Never have I ever gone on a trip with my ex.,Jo mai m'he anat de viatge amb el meu ex.
359,2,Yo nunca he recibido quejas de mis vecinos durante mis fiestas.,Never have I ever received complaints from my neighbors during my holidays.,Jo mai he rebut queixes dels meus veïns durant els meus festes.
360,3,Yo nunca he gemido a pesar de saber que me estaban escuchando.,Never have I ever moan despite knowing they were listening to me.,Jo mai he gemec tot i saber que m'estaven escoltant.
361,2,Yo nunca he sido rechazado/a por dos o más personas en una noche.,Never have I ever been rejected by two or more people in one night.,Jo mai he estat rebutjat/ada per dues o més persones en una nit.
362,3,Yo nunca he tenido sexo en la cocina.,Never have I ever had sex in the kitchen.,Jo mai he tingut sexe a la cuina.
363,5,Yo nunca le he zorreado a alguien para conseguir algo.,Never have I ever twerked to someone to get something.,Jo mai li he zorreado a algú per aconseguir alguna cosa.
364,5,Yo nunca me he despertado al lado de un/a desconocido/a.,Never have I ever woken up next to a stranger.,Jo mai m'he despertat al costat d'un/a desconegut/uda.
365,2,Yo nunca he recibido una cobra.,Never have I ever received a cobra.,Jo mai he rebut una cobra.
366,2,Yo nunca he hecho la cobra.,Never have I ever done the cobra.,Jo mai he fet la cobra.
367,2,Yo nunca he dudado sobre si me he liado con alguien.,Never have I ever doubted whether I've hooked up with someone.,Jo mai he dubtat sobre si m'he embolicat amb algú.
368,5,Yo nunca he dudado sobre si lo he hecho con alguien.,Never have I ever doubted whether I've done it with someone.,Jo mai he dubtat sobre si ho he fet amb algú.
369,3,Yo nunca he estado más de un año sin tener sexo después de perder la virginidad.,Never have I ever been more than a year without having sex after losing virginity.,Jo mai he estat més d'un any sense tenir sexe després de perdre la virginitat.
370,2,Yo nunca me he vestido excesivamente sexy para una entrevista de trabajo.,Never have I ever dress too sexy for a job interview.,Jo mai m'he vestit excessivament sexy per a una entrevista de treball.
371,4,Yo nunca me he emborrachado en una boda para ligar.,Never have I ever gotten drunk at a wedding to flirt.,Jo mai m'he emborratxat en un casament per lligar.
372,2,Yo nunca he comparado el tamaño de mi pene con algun amigo.,Never have I ever compared the size of my penis with a friend.,Jo mai he comparat la mida de la meva penis amb algun amic.
373,2,Yo nunca he comparado el tamaño de mis pechos con alguna amiga.,Never have I ever compared the size of my breasts with a friend.,Jo mai he comparat la mida dels meus pits amb alguna amiga.
374,2,Yo nunca he usado un tampax durante mas de 12h.,Never have I ever used a Tampax for more than 12h.,Jo mai he fet servir un tampax durant més de 12h.
375,1,Yo nunca me he sentido atraido/a por la pareja de un amigo/a.,Never have I ever felt attracted by the partner of a friend.,Jo mai m'he sentit atret/a per la parella d'un amic o amiga.
376,2,Yo nunca he usado una compresa durante mas de un dia.,Never have I ever used a compress for more than one day.,Jo mai he fet servir una compresa durant més d'un dia.
377,1,Yo nunca me he hecho un Vladimir>a>Una paja y a dormir<a<.,Never have I ever done a Vladimir> a> A straw to sleep <a <.,Jo mai m'he fet un Vladimir> a> Una palla i a dormir <a <.
378,5,Yo nunca me he masturbado con una fruta u hortaliza.,Never have I ever masturbated with a fruit or vegetable.,Jo mai m'he masturbat amb una fruita o hortalissa.
379,5,Yo nunca he tenido más de un folla-amigo/a a la vez.,Never have I ever had more than one fuck-friend at a time.,Jo mai he tingut més d'un folla-amic o folla-amiga alhora.
380,2,Yo nunca he hecho un chupetón.,Never have I ever done a hickey.,Jo mai he fet una xuclada.
381,1,Yo nunca he recibido un chupetón.,Never have I ever received a hickey.,Jo mai he rebut una xuclada.
382,2,Yo nunca he intentado ligar con alguien que no conocía por la calle.,Never have I ever tried to flirt with someone who did not know the street.,Jo mai he intentat lligar amb algú que no coneixia pel carrer.
383,5,Yo nunca he sido grabado/a durante el sexo.,Never have I ever been recorded during sex.,Jo mai he estat gravat/ada durant el sexe.
384,2,Yo nunca he visto porno en compañía.,Never have I ever seen porn company.,Jo mai he vist porno en companyia.
385,4,Yo nunca he ido a clase fumado/a.,Never have I ever been to class high.,Jo mai he anat a classe fumat/ada.
386,4,Yo nunca he ido a clase borracho/a.,Never have I ever been drunk in a class.,Jo mai he anat a classe borratxo/a.
387,4,Yo nunca me he emborrachado en clase.,Never have I ever got drunk in a class.,Jo mai m'he emborratxat a classe.
388,2,Yo nunca he pensado que mis tetas son perfectas.,Never have I ever thought that my boobs are perfect.,Jo mai he pensat que els meus pits són perfectes.
389,1,Yo nunca he hecho topless.,Never have I ever done topless.,Jo mai he fet topless.
390,3,Yo nunca he practicado sexo delante de un espejo.,Never have I ever had sex in front of a mirror.,Jo mai he practicat sexe davant d'un mirall.
391,3,Yo nunca he tenido sexo en un barco.,Never have I ever had sex on a boat.,Jo mai he tingut sexe en un vaixell.
392,2,Yo nunca me he masturbado en un avión>a>Harambe<a<.,Never have I ever masturbated in an airplane> a> Harambe <a <.,Jo mai m'he masturbat en un avió> a> Harambe <a <.
393,4,Yo nunca he probado las setas.,Never have I ever tasted mushrooms.,Jo mai he provat els bolets.
394,3,Yo nunca he tenido sexo en el suelo.,Never have I ever had sex on the floor.,Jo mai he tingut sexe a terra.
395,3,Yo nunca he follado en la piscina.,Never have I ever fucked in the pool.,Jo mai he follat ​​a la piscina.
396,3,Yo nunca he follado en el cuarto de mi hermano/a.,Never have I ever fucked in my brother's room.,Jo mai he follat ​​a la cambra del meu germà/ana.
397,1,A mi nunca se me ha caído el móvil en el retrete.,Never have I ever accidentally drop the phone in the toilet.,A mi mai se m'ha caigut el mòbil al lavabo.
398,2,Yo nunca he guardado un video porno en favoritos.,Never have I ever kept a porn video favorites.,Jo mai he guardat un vídeo porno en favorits.
399,4,Yo nunca he celebrado el 20 de Abril>a>420<a<.,Never have I ever held on April 20> a> 420 <a <.,Jo mai he celebrat el 20 d'abril> a> 420 <a <.
400,2,Yo nunca he sido rechazado/a en público.,Never have I ever been rejected in public.,Jo mai he estat rebutjat/ada en públic.
401,5,Yo nunca he pagado por el premium de una página porno.>a>Poy<a<,Never have I ever paid for the premium for a porn site.> A> Poy <a <,Jo mai he pagat pel premium d'una pàgina porno.> A> Poy <a <
402,5,Yo nunca he pagado por porno.,Never have I ever paid for porn.,Jo mai he pagat per porno.
403,2,Yo nunca he celebrado el 20 de noviembre>a>Paquito<a<.,Never have I ever held on November 20> a> Paquito <a <.,Jo mai he celebrat el 20 de novembre> a> Paquito <a <.
404,2,Yo nunca me he llevado algo de casa de alguien para tener una excusa para volver>a>Buri<a<.,Never have I ever taken something from someone's home to have an excuse to return> a> Buri <a <.,Jo mai m'he portat una mica de casa d'algú per tenir una excusa per tornar> a> Buri <a <.
405,3,Yo nunca me he comido una polla con condón.>a>Buri<a<,Never have I ever eaten a cock with condom.> A> Buri <a <,Jo mai m'he menjat una polla amb condó.> A> Buri <a <
406,4,Yo nunca he terminado en el hospital tras salir de fiesta.,Never have I ever ended up in hospital after partying.,Jo mai he acabat a l'hospital després de sortir de festa.
407,1,Yo nunca he llevado calcetines diferentes en cada pié.>a>Buri<a<,Never have I ever been different socks on each foot.> A> Buri <a <,Jo mai he portat mitjons diferents en cada peu.> A> Buri <a <
408,3,Yo nunca he hecho un streaptease.,Never have I ever done a striptease.,Jo mai he fet un streaptease.
409,5,Yo nunca he comido corrida de encima de unas tetas.,Never have I ever eaten run over tits.,Jo mai he menjat correguda de sobre d'unes mamelles.
410,5,Yo nunca me he liado con corrida en la boca.,Never have I ever hooked up with cum in the mouth.,Jo mai m'he embolicat amb correguda a la boca.
411,5,Yo nunca me he comido mi propia corrida.,Never have I ever eaten my own run.,Jo mai m'he menjat la meva pròpia correguda.
412,1,Yo nunca he buscado porno en YouTube.,Never have I ever looked for porn on YouTube.,Jo mai he buscat porno a YouTube.
413,4,Yo nunca he dicho que probaría las setas y no lo he hecho.,Never have I ever said I would try mushrooms and I have not done.,Jo mai he dit que provaria els bolets i no ho he fet.
